Transposon_Family	Transposon_Super_Family
TA1_AT	LTR/Ty3
TAG1	DNA/HAT
TAG2	DNA/HAT
TAG3N1	DNA/HAT
TAT1_ATH	LTR/Ty3
TNAT1A	DNA
TNAT2A	DNA
TSCL	LINE
Unassigned	Unassigned
VANDAL10	DNA/Mutator
VANDAL11	DNA/Mutator
VANDAL12	DNA/Mutator
VANDAL13	DNA/Mutator
VANDAL14	DNA/Mutator
VANDAL15	DNA/Mutator
VANDAL16	DNA/Mutator
VANDAL17	DNA/Mutator
VANDAL18	DNA/Mutator
VANDAL18NA	DNA/Mutator
VANDAL18NB	DNA/Mutator
VANDAL1	DNA/Mutator
VANDAL1N1	DNA/Mutator
VANDAL20	DNA/Mutator
VANDAL21	DNA/Mutator
VANDAL22	DNA/Mutator
VANDAL2	DNA/Mutator
VANDAL2N1	DNA/Mutator
VANDAL3	DNA/Mutator
VANDAL4	DNA/Mutator
VANDAL5A	DNA/Mutator
VANDAL5	DNA/Mutator
VANDAL6	DNA/Mutator
VANDAL7	DNA/Mutator
VANDAL8	DNA/Mutator
VANDAL9	DNA/Mutator
VANDALNX1	DNA/Mutator
VANDALNX2	DNA/Mutator
